Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
53080,43.405793,-87.98633,Town of Saukville,Ozaukee,Milwaukee,WI,206900,,,,,
53086,43.317652,-88.271254,Slinger,Washington,Milwaukee,WI,254000,,,256600,,
53089,43.144615,-88.233772,Sussex,Waukesha,Milwaukee,WI,296900,,,261900,312200,
53090,43.462856,-88.188952,Town of West Bend,Washington,Milwaukee,WI,189600,,131000,174600,188200,205000
53091,43.499624,-88.434562,Theresa,Dodge,Beaver Dam,WI,166200,,,,,
53092,43.214964,-87.951218,Mequon,Ozaukee,Milwaukee,WI,346800,,,295600,447500,
53095,43.38963,-88.158004,Town of West Bend,Washington,Milwaukee,WI,220500,,135000,186200,219900,214100
53103,42.881555,-88.212849,Vernon,Waukesha,Milwaukee,WI,270300,,,,,
53104,42.547457,-88.03928,Bristol,Kenosha,Chicago,WI,239200,,187200,240300,312800,
53105,42.663216,-88.280346,Town of Burlington,Racine,Racine,WI,199400,,148300,188100,195100,200300
