Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
19806,39.763305,-75.564142,Wilmington,New Castle,Philadelphia,DE,257900,138200,204400,274300,329700,408600
19808,39.737615,-75.667057,Newark,New Castle,Philadelphia,DE,229800,117600,188000,226700,292500,344400
19810,39.81878,-75.5064,Arden,New Castle,Philadelphia,DE,311100,124900,235100,284400,336100,369800
20001,38.910353,-77.017739,Washington,District of Columbia,Washington,DC,637400,469300,638200,746600,855300,963000
20002,38.905026,-76.983607,Washington,District of Columbia,Washington,DC,606900,384100,545100,660300,728500,879800
20003,38.881904,-76.990935,Washington,District of Columbia,Washington,DC,731800,393700,679200,805400,1027100,1430900
20007,38.914363,-77.079339,Washington,District of Columbia,Washington,DC,941900,360500,809900,1096800,1601300,2499600
20008,38.936238,-77.059981,Washington,District of Columbia,Washington,DC,832500,384900,617700,1156900,1479500,2422000
20009,38.919144,-77.037381,Washington,District of Columbia,Washington,DC,553400,409700,641700,904400,1139800,1356400
20010,38.933366,-77.030312,Washington,District of Columbia,Washington,DC,653600,349400,564100,687300,839200,1070400
20011,38.952514,-77.022991,Washington,District of Columbia,Washington,DC,548000,268600,441100,537500,662200,903000
20012,38.976873,-77.032609,Washington,District of Columbia,Washington,DC,709000,286800,480800,651100,802800,931800
20015,38.966889,-77.058323,Washington,District of Columbia,Washington,DC,991700,297900,877200,946700,1116600,1413600
20016,38.93693,-77.090014,Washington,District of Columbia,Washington,DC,957400,351000,643900,1025600,1319800,2131100
20017,38.938188,-76.992126,Washington,District of Columbia,Washington,DC,519200,253200,400800,522900,599500,774300
20018,38.926576,-76.974446,Washington,District of Columbia,Washington,DC,493800,263300,407400,497300,576500,642600
20109,38.793641,-77.531024,Manassas,Prince William,Washington,VA,264000,146200,193600,264200,341700,340300
20110,38.747172,-77.484536,Manassas,Prince William,Washington,VA,297900,126700,162400,260900,372500,403800
20120,38.856401,-77.476371,Centreville,Fairfax,Washington,VA,443800,203400,272200,383100,583100,653800
20147,39.041947,-77.47813,Ashburn,Loudoun,Washington,VA,480600,185300,297300,399500,609800,672600
